ID,LAND_NR,Partei_NR,Partei_ABK,Name,TW_acc,TW_user,TW_id,TW_verif,gescraped?
949,12,5,DIE LINKE,"Domscheit-Berg, Anke Margarete",1,anked,16557497,1,ja
1001,5,6,GRÜNE,"Dröge, Katharina",1,katdro,15722010,1,ja
1018,6,6,GRÜNE,"Düring, Deborah Saskia",1,DeborahDuering,1.24908827012803E+018,2,ja
1020,3,4,FDP,"Dürr, Christian",1,christianduerr,17535941,1,ja
1021,9,7,CSU,"Durz, Hansjörg",1,Hansjoerg_Durz,1662533040,1,ja
1036,8,6,GRÜNE,"Ebner, Harald",1,ebner_sha,52431948,1,ja
1043,9,6,GRÜNE,"Eckert, Leon",1,Leckert_,714742039,1,ja
1047,9,7,CSU,"Edelhäußer, Ralph",1,edelhaeusser,152339060,2,ja
1067,3,3,AfD,"Ehrhorn, Thomas Ludwig Walter",1,Thomas_Ehrhorn,3242322815,2,ja
1076,12,2,SPD,"Eichwede, Sonja Katharina",1,sonjaeichwede,2532432664,2,ja
1110,8,6,GRÜNE,"Emmerich, Marcel",1,herr_emmerich,16695267,1,ja
1131,9,7,CSU,"Englhardt-Kopf, Martina",1,EnglhardtKopf,1.33567686906106E+018,2,ja
1149,9,7,CSU,"Erndl, Thomas Maximilian",1,TErndl,2192588903,1,ja
1150,9,5,DIE LINKE,"Ernst, Klaus Friedrich",1,ernst_klaus,64994645,1,ja
1157,5,2,SPD,"Esdar, Dr. Wiebke",1,wiebkeesdar1,1.04210988760456E+018,2,ja
1159,8,2,SPD,"Esken, Saskia Christina",1,EskenSaskia,1423622834,1,ja
1162,5,3,AfD,"Espendiller, Dr. Michael",1,DrMEspendiller,8.8516784968534E+017,2,ja
1180,15,4,FDP,"Faber, Dr. Marcus",1,MarcusFaber,22364234,1,ja
1184,3,2,SPD,"Fahimi, Yasmin",1,FahimiYasmin,1.03803443138525E+018,1,ja
1192,15,3,AfD,"Farle, Robert",1,robert_farle,2958611710,2,ja
1194,12,2,SPD,"Fäscher, Ariane",1,ArianeFaescher,1.37158018900049E+018,2,ja
